timestamp,high,low,open,close,volume
2017-07-11,1.84,1.4,1.7,1.53,5655830.72
2017-07-12,2.07,1.41,1.53,1.96,3609408.12
2017-07-13,2.02,1.58,1.96,1.71,2204503.01
2017-07-14,1.71,1.46,1.71,1.51,2381294.02
2017-07-15,1.52,1.28,1.51,1.29,3005248.26
2017-07-16,1.37,1.12,1.29,1.22,2982295.95
2017-07-17,1.59,1.2,1.22,1.51,3526703.25
2017-07-18,1.78,1.44,1.51,1.67,3119443.2
2017-07-19,1.8,1.39,1.67,1.45,2861968.83
2017-07-20,1.79,1.41,1.45,1.71,2061495
2017-07-21,1.98,1.68,1.71,1.79,2322747.37
2017-07-22,2.08,1.77,1.79,2.03,1998596.76
2017-07-23,2.18,1.8,2.03,1.91,2632662.43
2017-07-24,1.99,1.81,1.91,1.9,1801483.72
2017-07-25,1.91,1.53,1.9,1.67,3031368.07
2017-07-26,1.74,1.49,1.67,1.66,2877282.32
2017-07-27,1.94,1.64,1.66,1.91,2931375.89
2017-07-28,1.98,1.77,1.91,1.8,2789325.46
2017-07-29,1.87,1.6,1.8,1.81,2788418.01
2017-07-30,1.89,1.69,1.81,1.79,1747337.48
2017-07-31,1.81,1.64,1.79,1.72,2282435.58
2017-08-01,1.83,1.68,1.72,1.77,2999734.41
2017-08-02,1.93,1.69,1.77,1.76,2022382.06
2017-08-03,1.81,1.69,1.76,1.78,1700739.93
2017-08-04,1.85,1.7,1.78,1.78,1903311.9
2017-08-05,1.96,1.72,1.78,1.86,3146503.98
2017-08-06,1.88,1.75,1.86,1.76,2247834.26
2017-08-07,1.87,1.7,1.76,1.83,2934648.28
2017-08-08,1.98,1.79,1.83,1.86,3428366.67
2017-08-09,1.98,1.78,1.86,1.82,2442200.35
2017-08-10,1.91,1.79,1.82,1.84,2506814.62
2017-08-11,1.87,1.7,1.84,1.76,3429730.56
2017-08-12,1.83,1.6,1.76,1.65,2886509.73
2017-08-13,1.69,1.51,1.65,1.59,3545804.22
2017-08-14,1.69,1.51,1.59,1.61,3050210.6
2017-08-15,1.72,1.57,1.61,1.62,3186931.03
2017-08-16,1.64,1.55,1.62,1.59,2688333.05
2017-08-17,1.61,1.49,1.59,1.52,3336261.31
2017-08-18,1.53,1.35,1.52,1.4,3315579.8
2017-08-19,1.44,1.29,1.4,1.39,2784847.17
2017-08-20,1.42,1.33,1.39,1.36,2502787.71
2017-08-21,1.39,1.31,1.36,1.33,3248568.81
2017-08-22,1.33,1.24,1.33,1.27,3599185.83
2017-08-23,1.54,1.26,1.27,1.42,6147120.04
2017-08-24,1.42,1.33,1.42,1.37,2784575.77
2017-08-25,1.44,1.33,1.37,1.37,3019487.01
2017-08-26,1.39,1.33,1.37,1.36,2348181.8
2017-08-27,1.38,1.32,1.36,1.34,2335987.77
2017-08-28,1.36,1.29,1.34,1.33,2663573.5
2017-08-29,1.38,1.31,1.33,1.32,3297589.4
2017-08-30,1.35,1.22,1.32,1.25,4528191.96
2017-08-31,1.35,1.25,1.25,1.34,4992977.51
2017-09-01,1.35,1.28,1.34,1.32,4217462.33
2017-09-02,1.44,1.19,1.32,1.24,4145507.83
2017-09-03,1.33,1.21,1.24,1.3,3851217.54
2017-09-04,1.3,0.8219,1.3,0.9142,11464474.02
2017-09-05,0.9777,0.7502,0.9142,0.923,9069276.43
2017-09-06,1.16,0.856,0.923,0.9106,12444570.01
2017-09-07,1.02,0.852,0.9106,0.9828,10938164.79
2017-09-08,0.9912,0.7804,0.9828,0.8421,10111247.33
2017-09-09,0.8487,0.7577,0.8421,0.8174,4294016.92
2017-09-10,0.8193,0.6992,0.8174,0.745,5333334.86
2017-09-11,0.764,0.7101,0.745,0.735,3776355.26
2017-09-12,0.8944,0.729,0.735,0.859,8435731.28
2017-09-13,0.8595,0.6603,0.859,0.7272,7722195.41
2017-09-14,0.7642,0.5207,0.7272,0.5806,10475675.53
2017-09-15,0.6782,0.5149,0.5806,0.6511,7584741.55
2017-09-16,0.6798,0.5781,0.6511,0.624,3403913.89
2017-09-17,0.649,0.5678,0.624,0.6233,5779557.65
2017-09-18,0.7075,0.6229,0.6233,0.7049,4706833.01
2017-09-19,0.7128,0.6465,0.7049,0.6493,3793052.69
2017-09-20,0.6673,0.6152,0.6493,0.6166,5368856.37
2017-09-21,0.6293,0.5434,0.6166,0.5671,7057087.23
2017-09-22,0.5793,0.5312,0.5671,0.5659,4686103.29
2017-09-23,0.6048,0.5579,0.5659,0.578,4676979.33
2017-09-24,0.5861,0.5415,0.578,0.5454,5752514.37
2017-09-25,0.5779,0.5245,0.5454,0.5688,5548700.33
2017-09-26,0.5854,0.5511,0.5688,0.5614,5439087.07
2017-09-27,0.6438,0.5569,0.5614,0.6314,10018302.41
2017-09-28,0.8237,0.6292,0.6314,0.8085,15721276.6
2017-09-29,0.8435,0.6979,0.8085,0.7146,11585575.9
2017-09-30,0.7585,0.7061,0.7146,0.7274,6295691.66
2017-10-01,0.7285,0.6631,0.7274,0.7085,5416671.8
2017-10-02,0.719,0.6331,0.7085,0.6549,4999520.77
2017-10-03,0.669,0.6057,0.6549,0.6308,4478543.48
2017-10-04,0.6347,0.5829,0.6308,0.6008,4208668.62
2017-10-05,0.6214,0.5752,0.6008,0.6054,5712256.68
2017-10-06,0.61,0.5862,0.6054,0.6005,4009236.95
2017-10-07,0.6075,0.5712,0.6005,0.5895,3773750.62
2017-10-08,0.6174,0.5754,0.5895,0.606,5106000.59
2017-10-09,0.6061,0.5248,0.606,0.558,5888047.93
2017-10-10,0.5892,0.5474,0.558,0.552,5845242.74
2017-10-11,0.6278,0.5468,0.552,0.6076,7457597.22
2017-10-12,0.642,0.5814,0.6076,0.5947,7127642.94
2017-10-13,0.6169,0.5483,0.5947,0.5872,6800937.22
2017-10-14,0.6185,0.5768,0.5872,0.5836,5779741.41
2017-10-15,0.5918,0.5629,0.5836,0.5738,4855678.15
2017-10-16,0.5853,0.5593,0.574,0.5608,4167533.46
2017-10-17,0.5675,0.5374,0.5612,0.5501,4595599.27
2017-10-18,0.5679,0.511,0.5519,0.5432,5767658.6
2017-10-19,0.5946,0.5424,0.5434,0.5663,6873378.88
2017-10-20,0.5888,0.5395,0.5665,0.5395,5305190.03
2017-10-21,0.541,0.5122,0.5396,0.5284,6647293.29
2017-10-22,0.5415,0.4979,0.5282,0.5192,4555572.69
2017-10-23,0.5239,0.4793,0.5189,0.4924,6067509.04
2017-10-24,0.5512,0.4776,0.4925,0.5176,5967943.24
2017-10-25,0.5278,0.4856,0.5173,0.5041,4518208.54
2017-10-26,0.5284,0.5023,0.5038,0.5189,4110150.58
2017-10-27,0.5237,0.5011,0.5189,0.5213,3641852.45
2017-10-28,0.5409,0.5165,0.5218,0.5339,4099844.69
2017-10-29,0.6793,0.5327,0.5336,0.6668,13487478.35
2017-10-30,0.747,0.6409,0.6671,0.7125,12955794.25
2017-10-31,0.7826,0.6676,0.7125,0.7826,9582555.18
2017-11-01,1.33,0.7522,0.7822,1.05,36964539.75
2017-11-02,1.3,0.916,1.05,1.11,31135053.4
2017-11-03,1.42,1.06,1.11,1.2,25001835.96
2017-11-04,1.3,1.04,1.2,1.11,17267343.83
2017-11-05,1.18,0.973,1.11,1.09,14199958.28
2017-11-06,1.09,0.9015,1.09,0.9124,13596521.91
2017-11-07,0.9937,0.9107,0.9123,0.9518,7738637.44
2017-11-08,1.19,0.9434,0.9517,1.12,16679289.17
2017-11-09,1.21,1.12,1.12,1.18,9167694.71
2017-11-10,1.19,0.9844,1.18,1.03,10244964.77
2017-11-11,1.19,1,1.03,1.16,9159475.95
2017-11-12,1.19,1.02,1.16,1.09,8394417.53
2017-11-13,1.19,1.08,1.09,1.18,6537330.25
2017-11-14,1.69,1.18,1.18,1.68,21057867.09
2017-11-15,1.73,1.51,1.68,1.67,15995802.57
2017-11-16,1.87,1.56,1.67,1.67,16955963.51
2017-11-17,1.82,1.58,1.67,1.74,11992099.94
2017-11-18,1.99,1.65,1.74,1.92,11773271.49
2017-11-19,2.06,1.75,1.91,1.88,11153672.69
2017-11-20,2.05,1.83,1.88,1.99,9783694.84
2017-11-21,2.12,1.84,1.99,1.91,12239367.55
2017-11-22,1.99,1.76,1.91,1.89,9506691.51
2017-11-23,1.98,1.85,1.89,1.88,7925618.56
2017-11-24,1.91,1.71,1.88,1.88,7303428.15
2017-11-25,2.07,1.78,1.88,2.05,7995090.83
2017-11-26,2.71,1.93,2.05,2.46,1529705.62
2017-11-27,2.96,2.35,2.46,2.86,13658945.84
2017-11-28,3.06,2.71,2.86,2.76,11523237.31
2017-11-29,3.36,2.48,2.76,2.71,14501126.12
2017-11-30,2.98,2.44,2.71,2.84,11217226.6
2017-12-01,3.25,2.69,2.84,3.22,7731310.56
2017-12-02,3.98,3.16,3.22,3.91,12157858.98
2017-12-03,4.12,3.4,3.91,3.58,9757224.32
2017-12-04,4.2,3.41,3.58,4.04,10818305.23
2017-12-05,4.57,3.65,4.04,4.19,16903094.58
2017-12-06,5.12,4.16,4.19,4.47,14904676.51
2017-12-07,4.47,3.28,4.47,3.89,15263393.03
2017-12-08,4.5,3.53,3.89,4.22,9747608.94
2017-12-09,4.63,3.68,4.22,3.98,9549082.85
2017-12-10,4.01,3.4,3.98,3.67,7209159.5
2017-12-11,4.48,3.65,3.67,4.39,10703236.52
2017-12-12,5.88,4.23,4.39,5.08,14003648.21
2017-12-13,7.28,4.69,5.08,7.28,33584621.51
2017-12-14,8.7,7.04,7.28,8.2,22315609.69
2017-12-15,8.36,6.52,8.2,7.93,15244024.52
2017-12-16,9.29,7.89,7.93,8.35,11967893.44
2017-12-17,8.99,7.81,8.35,7.97,7915233.66
2017-12-18,8.97,7.22,7.97,8.88,10794400.05
2017-12-19,12.49,8.65,8.88,11.49,29239967.21
2017-12-20,11.7,9.69,11.49,10.44,9395415.61
2017-12-21,11.85,9.71,10.45,10.64,9522150.21
2017-12-22,10.66,3.14,10.65,7.69,30796008.07
2017-12-23,9.25,7.48,7.69,8.26,8592167.87
2017-12-24,8.42,6.71,8.26,7.99,6796919.66
2017-12-25,8.83,7.62,7.99,8.15,3727887.94
2017-12-26,8.71,8.05,8.15,8.6,4766304.19
2017-12-27,9.41,8.06,8.6,8.72,5228997.52
2017-12-28,8.76,7.26,8.72,8.1,4746439.34
2017-12-29,8.73,7.9,8.1,8.12,3977974.07
2017-12-30,8.19,6.52,8.12,7.08,5483898.78
2017-12-31,7.82,7,7.08,7.69,2386645.58
2018-01-01,7.95,7.2,7.69,7.64,2129554.08
2018-01-02,8.6,7.63,7.64,8.3,4643760.32
2018-01-03,9.43,7.84,8.3,9.43,4364385.03
2018-01-04,10.49,9.15,9.43,9.47,7078127.9
2018-01-05,9.85,8.51,9.47,9.29,4358645.81
2018-01-06,9.9,8.73,9.29,9.83,3087102.87
2018-01-07,10.89,9.76,9.83,10.16,3815149.8
2018-01-08,10.39,8.14,10.16,9.6,4984929.56
2018-01-09,9.74,8.8,9.6,9.23,2231540.79
2018-01-10,11.49,8.37,9.23,11.2,8396833.07
2018-01-11,12.46,8.91,11.2,11.27,10763365.92
2018-01-12,15.24,10.57,11.27,13.8,13168939.99
2018-01-13,18.67,13.43,13.8,16,17913873.5
2018-01-14,16.13,12.9,16,13.23,6923820.5
2018-01-15,14.7,12.68,13.23,12.78,4506690.85
2018-01-16,12.98,8.31,12.78,10,14956533.32
2018-01-17,10.56,7.5,10,10.15,11452035.78
2018-01-18,11.47,9.65,10.15,10.18,5758551.42
2018-01-19,11.43,9.74,10.18,11.07,4594984.27
2018-01-20,15.75,11.04,11.07,15.53,10533428.4
2018-01-21,15.57,12,15.51,13.47,11122430.25
2018-01-22,15.14,12.45,13.47,13.38,11888558.67
2018-01-23,13.92,11.6,13.38,12.88,9131139.77
2018-01-24,13.97,12.51,12.88,13.9,4406319.42
2018-01-25,15.09,13.47,13.9,14.25,6366632.51
2018-01-26,14.8,12.81,14.25,14.24,5408892.14
2018-01-27,14.74,13.86,14.24,14.38,2692772.16
2018-01-28,14.97,14.09,14.38,14.75,3230702.66
2018-01-29,14.85,13.3,14.75,13.54,3449065.86
2018-01-30,13.6,10.87,13.54,11.35,8227358.36
2018-01-31,12.25,10.31,11.36,11.98,5621230.02
2018-02-01,12.17,9.75,11.98,10.03,8128306.47
2018-02-02,11.09,8.41,10.03,10.23,11147711.76
2018-02-03,11.25,9.15,10.23,10.64,4903735.04
2018-02-04,10.85,8.38,10.64,8.89,5228214.64
2018-02-05,9.3,6.82,8.89,7.06,9253162.94
2018-02-06,8.47,5.8,7.06,8.29,11770911.21
2018-02-07,8.97,7.38,8.29,7.67,6916911.37
2018-02-08,8.79,7.64,7.67,8.31,4976168.2
2018-02-09,9.61,7.93,8.31,9.48,4514893.67
2018-02-10,9.9,8.4,9.48,8.9,4125667.92
2018-02-11,8.92,7.96,8.9,8.33,2999634.14
2018-02-12,9.35,8.33,8.33,9.13,3876654.76
2018-02-13,9.2,8.54,9.13,8.94,2693248.34
2018-02-14,9.92,8.94,8.94,9.85,4074929.54
2018-02-15,10.12,9.45,9.85,9.84,3723932.27
2018-02-16,9.95,9.34,9.84,9.84,2898713.96
2018-02-17,10.06,9.73,9.84,10.02,2808548.27
2018-02-18,10.05,8.9,10.02,9.06,4140035.75
2018-02-19,9.65,9.02,9.06,9.49,2536893.08
2018-02-20,9.8,8.78,9.49,8.88,3065821.78
2018-02-21,8.93,8.09,8.88,8.34,3557024.73
2018-02-22,8.65,7.58,8.34,7.78,4507176.61
2018-02-23,8.53,7.61,7.78,8.26,3610862.44
2018-02-24,8.46,7.62,8.26,7.9,3069105.28
2018-02-25,7.96,7.47,7.9,7.69,2637594.33
2018-02-26,8.33,7.39,7.69,7.99,3946327.62
2018-02-27,8.83,7.86,7.99,8.39,3827130.88
2018-02-28,9.13,8.17,8.39,8.19,2944520.19
2018-03-01,8.57,8.09,8.19,8.55,2072049.29
2018-03-02,8.7,7.92,8.55,8.02,2393158.3
2018-03-03,8.28,7.87,8.02,7.92,1416121.53
2018-03-04,8.16,7.74,7.92,8.15,2010733.32
2018-03-05,8.29,7.94,8.15,7.95,1535929.97
2018-03-06,7.95,7.02,7.95,7.13,4108704.06
2018-03-07,7.29,5.95,7.13,6.43,9200041.05
2018-03-08,6.7,5.88,6.43,6.1,4967679.82
2018-03-09,6.18,5.21,6.1,6.02,9714270.53
2018-03-10,6.45,5.61,6.02,5.64,5769808
2018-03-11,6.2,5.41,5.64,6.04,4639443.94
2018-03-12,6.18,5.58,6.04,5.72,4058232.17
2018-03-13,5.94,5.54,5.72,5.79,3834948.11
2018-03-14,6.03,5.16,5.79,5.28,4218424.9
2018-03-15,5.33,4.79,5.28,5.12,7327166.38
2018-03-16,5.32,4.86,5.12,5.04,3899113.95
2018-03-17,5.09,4.53,5.04,4.63,3740617.74
2018-03-18,4.77,3.89,4.63,4.62,11441781.94
2018-03-19,6.26,4.52,4.62,6.18,15003182.41
2018-03-20,6.35,5.34,6.18,5.93,14304199.83
2018-03-21,7.28,5.84,5.93,6.9,13905314
2018-03-22,7.25,6.14,6.9,6.89,14307930.08
2018-03-23,7.07,6.22,6.89,6.94,12384697.29
2018-03-24,7.08,6.48,6.94,6.51,6153071.79
2018-03-25,6.67,6.37,6.51,6.43,3853413.78
2018-03-26,6.51,5.26,6.43,5.78,15561842.78
2018-03-27,6.52,5.18,5.78,5.8,18832431.59
2018-03-28,6.5,5.62,5.8,6.2,8068603.63
2018-03-29,6.29,5.75,6.2,5.88,11640925.68
2018-03-30,6.18,5.7,5.88,6.01,10157033.8
2018-03-31,6.16,5.86,6.01,5.93,4065109.78
2018-04-01,5.99,5.12,5.93,5.6,8789092.42
2018-04-02,5.9,5.5,5.6,5.82,4857511.92
2018-04-03,6.15,5.74,5.82,6.02,4415876.8
2018-04-04,6.07,5.5,6.02,5.67,4037485.67
2018-04-05,6.41,5.41,5.67,6.33,8714599.22
2018-04-06,6.38,5.67,6.33,5.84,8877920.3
2018-04-07,6.01,5.78,5.84,5.9,2546048.75
2018-04-08,6.02,5.84,5.9,5.98,2068643.28
2018-04-09,6.09,5.75,5.98,5.86,3893243.82
2018-04-10,6.08,5.75,5.86,6,3483406.81
2018-04-11,8.9,5.97,6,8.52,29057229.38
2018-04-12,9.28,7.86,8.52,8.83,27002197.97
2018-04-13,9.57,8.6,8.83,8.82,14863149.91
2018-04-14,9.23,8.11,8.82,8.71,9526593.12
2018-04-15,8.81,7.81,8.71,8.53,9620592.44
2018-04-16,8.53,7.81,8.53,8.12,7557276.59
2018-04-17,9.1,8.09,8.12,8.5,9651903.21
2018-04-18,9.23,8.45,8.5,9.04,7043747.86
2018-04-19,9.48,8.9,9.04,9.48,6886788.51
2018-04-20,11.7,9.46,9.48,11.45,19629991.97
2018-04-21,11.63,10.22,11.45,11.14,11782970.13
2018-04-22,11.88,10.75,11.14,11.3,11155845.08
2018-04-23,12.03,11.23,11.3,11.62,8082528.47
2018-04-24,16.14,11.61,11.62,15.11,32307325.5
2018-04-25,15.52,13.37,15.11,14.46,28744656.57
2018-04-26,15.59,13.85,14.46,15.44,12279671.96
2018-04-27,17.9,14.77,15.44,16.61,16356855.08
2018-04-28,19.49,16.44,16.61,18.78,18232718.88
2018-04-29,23.02,18.74,18.78,21.41,25911403.23
2018-04-30,21.64,16.52,21.41,17.46,26020638.36
2018-05-01,19.03,15.92,17.46,18.74,19652129
2018-05-02,19.62,18.18,18.74,19.23,12953705.12
2018-05-03,19.35,16.86,19.23,17.67,13481970.2
2018-05-04,18.04,16.24,17.67,17.05,8573947.52
2018-05-05,18.65,17.02,17.05,17.77,7319425.67
2018-05-06,17.99,16.55,17.77,17.39,7649620.87
2018-05-07,18.42,16.62,17.39,17.8,11377363.71
2018-05-08,18.96,17.68,17.8,17.96,7640087.74
2018-05-09,18.09,16.99,17.96,17.79,6693427.14
2018-05-10,18.75,17.32,17.79,17.32,8002505.97
2018-05-11,17.65,13.92,17.32,14.82,29279837.75
2018-05-12,15.14,12.07,14.82,13.95,26639984.19
2018-05-13,15.12,13.41,13.95,14.59,10695806.32
2018-05-14,14.72,12.94,14.59,13.8,13017242.69
2018-05-15,14.39,12.4,13.8,12.8,9680670.9
2018-05-16,13.07,11.83,12.8,12.67,11631860.46
2018-05-17,13.95,12,12.67,12.23,12935272.79
2018-05-18,13.2,11.91,12.23,12.91,12144129.25
2018-05-19,13.34,12.47,12.91,13.12,5054449.63
2018-05-20,14.19,12.93,13.12,13.95,7224457.25
2018-05-21,14.16,13.11,13.95,13.43,5634141.91
2018-05-22,13.45,11.94,13.43,12.11,9365141.36
2018-05-23,12.34,10.46,12.11,10.67,19148869.63
2018-05-24,12.88,10.34,10.67,12.75,18389473.99
2018-05-25,12.79,11.56,12.75,12.18,12148318.54
2018-05-26,12.87,11.85,12.18,12.21,6808395.1
2018-05-27,12.57,11.94,12.21,12.44,5799524.39
2018-05-28,12.98,11.3,12.44,11.51,12407353.66
2018-05-29,12.49,10.71,11.51,12.14,17682930.01
2018-05-30,12.64,11.68,12.14,11.88,10020188.48
2018-05-31,12.7,11.82,11.88,12.23,7589530.77
2018-06-01,12.35,11.89,12.23,12.23,7385651.92
2018-06-02,15.54,12.11,12.23,14.62,23818621.91
2018-06-03,15.42,14.25,14.62,14.52,11674822.55
2018-06-04,14.86,13.25,14.52,13.43,10976048.11
2018-06-05,14.28,12.84,13.43,14.15,10722889.42
2018-06-06,14.27,13.34,14.15,13.91,7421132.26
2018-06-07,14.62,13.67,13.91,14.6,7671858.86
2018-06-08,14.79,13.56,14.6,14.01,10237888.39
2018-06-09,14.97,13.96,14.01,14.11,8450880.89
2018-06-10,14.11,10.05,14.11,11.01,29925285.6
2018-06-11,11.44,10.41,11.01,11.3,12679694.05
2018-06-12,11.32,9.59,11.3,9.98,10055583.13
2018-06-13,10.31,9.1,9.98,10,13929276.52
2018-06-14,11.65,9.44,10,11.25,15861370.13
2018-06-15,11.25,10.36,11.25,10.54,9361592.1
2018-06-16,10.81,10.12,10.54,10.54,6593451.83
2018-06-17,10.75,10.27,10.54,10.34,3406279.59
2018-06-18,10.91,10.13,10.34,10.73,5443345.45
2018-06-19,10.91,10.45,10.73,10.7,4262274.62
2018-06-20,10.84,10.2,10.7,10.43,5978129.26
2018-06-21,10.88,10.18,10.43,10.41,4554887.38
2018-06-22,10.45,8.24,10.41,8.53,18658420.02
2018-06-23,8.78,8.02,8.52,8.37,7505260.01
2018-06-24,8.44,6.9,8.37,8.05,24506915.45
2018-06-25,8.49,7.71,8.05,8.18,10742810.33
2018-06-26,8.25,7.34,8.18,7.36,9453750.86
