timestamp,high,low,open,close,volume
2017-07-11,1.11,1.11,1.11,1.11,0
2017-07-12,1.11,0.701,1.11,0.8449,10167.9
2017-07-13,1,0.454,0.8449,0.485,72207.35
2017-07-14,0.94,0.38,0.485,0.8498,65261.05
2017-07-15,0.899,0.62,0.8498,0.8645,30549.04
2017-07-16,0.899,0.61,0.8645,0.8184,110565.68
2017-07-17,1.206,0.912,0.8528,0.9485,203859.87
2017-07-18,1.669,1.134,0.9485,1.444,103541.65
2017-07-19,1.876,1.226,1.594,1.876,47777.94
2017-07-20,2.5,1.39,1.89,1.69,38663.53
2017-07-21,1.83,1.62,1.69,1.77,7835.36
2017-07-22,1.81,1.549,1.696,1.736,22827.54
2017-07-23,2.1,1.62,1.64,1.77,33731.91
2017-07-24,1.77,1.62,1.77,1.68,53194.22
2017-07-25,1.71,1.4,1.68,1.43,140595.92
2017-07-26,1.57,1.4,1.43,1.44,152748.76
2017-07-27,1.54,1.42,1.44,1.45,137281.82
2017-07-28,1.572,1.367,1.483,1.426,162870.49
2017-07-29,1.531,1.342,1.426,1.378,147317.79
2017-07-30,1.486,1.347,1.378,1.422,143892.63
2017-07-31,1.499,1.404,1.422,1.433,184051.27
2017-08-01,1.786,1.346,1.433,1.478,144438.29
2017-08-02,1.496,1.325,1.478,1.374,116520.8
2017-08-03,1.515,1.368,1.374,1.444,131249.76
2017-08-04,1.552,1.382,1.444,1.428,135061.47
2017-08-05,1.667,1.56,1.428,1.641,47006.68
2017-08-06,2.065,1.616,1.641,1.81,87655.06
2017-08-07,2.167,1.442,1.81,1.442,177928.32
2017-08-08,1.584,1.245,1.442,1.245,253581.94
2017-08-09,1.497,1.139,1.245,1.216,194670.52
2017-08-10,1.291,1.096,1.216,1.192,245682.18
2017-08-11,1.443,1.217,1.192,1.279,114745.11
2017-08-12,1.487,1.262,1.279,1.301,199218.16
2017-08-13,1.406,1.231,1.301,1.255,278248.9
2017-08-14,1.536,1.298,1.255,1.372,264944.34
2017-08-15,1.498,1.248,1.372,1.261,282224.56
2017-08-16,1.487,1.316,1.261,1.316,140406.31
2017-08-17,1.4,1.27,1.3,1.3,48122.48
2017-08-18,1.392,1.207,1.288,1.26,202344.86
2017-08-19,1.415,1.229,1.26,1.287,262472.91
2017-08-20,1.38,1.23,1.27,1.34,50481.03
2017-08-21,1.926,1.254,1.273,1.758,208332.11
2017-08-22,1.836,1.427,1.758,1.521,248342.54
2017-08-23,1.917,1.503,1.521,1.855,186481.03
2017-08-24,2.202,1.878,1.855,2.073,169436.12
2017-08-25,2.4,2.008,2.073,2.326,222559.58
2017-08-26,2.402,2.098,2.326,2.207,177682.14
2017-08-27,2.26,2.077,2.207,2.103,121598.63
2017-08-28,2.309,2.011,2.103,2.081,237849.73
2017-08-29,2.299,2.152,2.081,2.294,278604.91
2017-08-30,2.539,2.223,2.294,2.397,288459.34
2017-08-31,2.514,2.334,2.397,2.358,227583.87
2017-09-01,2.673,2.451,2.358,2.5,185918.43
2017-09-02,2.401,2.269,2.5,2.31,45655.54
2017-09-03,2.32,2.122,2.104,2.288,223091.38
2017-09-04,2.129,1.826,2.288,1.925,145935.73
2017-09-05,2.152,1.927,1.925,2.116,35979.74
2017-09-06,2.222,1.972,2.116,2.032,173687.39
2017-09-07,2.132,1.965,2.032,2.114,220061.88
2017-09-08,2.033,1.886,2.114,1.899,119112.4
2017-09-09,1.972,1.89,1.899,1.968,133943.31
2017-09-10,2.038,1.775,1.968,1.855,313501.47
2017-09-11,1.894,1.767,1.855,1.885,215553.05
2017-09-12,2.038,1.838,1.885,1.942,189105.35
2017-09-13,1.924,1.734,1.942,1.877,227811.15
2017-09-14,1.622,1.42,1.877,1.456,293791.2
2017-09-15,1.719,1.597,1.456,1.656,152413.22
2017-09-16,1.81,1.31,1.39,1.7,42812.52
2017-09-17,1.697,1.531,1.624,1.657,294187.3
2017-09-18,1.964,1.8,1.657,1.808,223959.4
2017-09-19,1.829,1.716,1.808,1.829,140696.92
2017-09-20,1.914,1.805,1.829,1.825,136002.43
2017-09-21,1.765,1.592,1.825,1.639,312948.45
2017-09-22,1.671,1.451,1.639,1.592,261417.74
2017-09-23,1.8,1.43,1.55,1.58,68775.05
2017-09-24,1.75,1.46,1.58,1.52,87047.9
2017-09-25,1.74,1.51,1.52,1.67,59903.43
2017-09-26,1.72,1.59,1.67,1.62,51575.67
2017-09-27,1.849,1.487,1.615,1.672,222545.27
2017-09-28,1.775,1.599,1.672,1.628,191061.44
2017-09-29,1.849,1.619,1.628,1.769,118508.43
2017-09-30,1.871,1.618,1.769,1.64,157427.29
2017-10-01,1.832,1.629,1.64,1.673,214663.58
2017-10-02,1.99,1.59,1.7,1.89,72068.81
2017-10-03,2.118,1.726,1.884,1.903,173096.88
2017-10-04,2.274,1.827,1.903,2.202,146051.7
2017-10-05,2.24,1.85,2.15,2.13,75885.42
2017-10-06,2.23,2.103,2.126,2.177,159776.81
2017-10-07,2.537,2.209,2.177,2.395,134267.89
2017-10-08,2.509,2.32,2.395,2.32,110096.72
2017-10-09,2.594,2.102,2.32,2.284,238704.35
2017-10-10,2.391,2.067,2.284,2.334,276863.35
2017-10-11,2.369,2.2,2.334,2.258,159450.07
2017-10-12,2.553,2.412,2.258,2.483,129332.51
2017-10-13,2.666,2.283,2.483,2.435,214640.69
2017-10-14,2.691,2.481,2.435,2.621,203500.88
2017-10-15,2.78,2.3,2.63,2.45,47841.38
2017-10-16,2.799,2.402,2.532,2.597,97338.99
2017-10-17,2.721,2.295,2.592,2.48,310621.64
2017-10-18,2.637,2.258,2.491,2.281,282556.48
2017-10-19,2.39,1.63,2.25,1.99,105840.12
2017-10-20,2.427,1.786,2.029,1.9,288725.47
2017-10-21,1.928,1.55,1.9,1.82,259925.11
2017-10-22,1.974,1.603,1.82,1.663,191102.9
2017-10-23,1.842,1.635,1.675,1.712,152820.78
2017-10-24,1.99,1.67,1.74,1.88,58910.39
2017-10-25,1.88,1.72,1.83,1.77,46202.36
2017-10-26,1.82,1.7,1.77,1.79,37607.84
2017-10-27,1.879,1.747,1.796,1.781,95521.43
2017-10-28,1.89,1.747,1.787,1.798,124896
2017-10-29,1.943,1.641,1.798,1.715,214609.94
2017-10-30,1.899,1.666,1.715,1.745,291300.67
2017-10-31,2,1.664,1.739,1.748,300610.35
2017-11-01,1.907,1.691,1.741,1.718,179601.08
2017-11-02,1.819,1.496,1.718,1.588,340804.02
2017-11-03,1.809,1.502,1.602,1.738,282916.36
2017-11-04,1.966,1.723,1.737,1.76,217997.14
2017-11-05,1.81,1.7,1.76,1.71,62795.77
2017-11-06,1.733,1.538,1.7,1.559,190945.97
2017-11-07,1.861,1.492,1.559,1.712,218790.33
2017-11-08,1.854,1.571,1.712,1.608,232309.55
2017-11-09,1.775,1.504,1.608,1.711,203509.27
2017-11-10,1.628,1.385,1.704,1.563,195856.74
2017-11-11,1.617,1.477,1.556,1.579,194678.51
2017-11-12,1.61,1.43,1.58,1.46,82718.31
